序号,页码,章节,小节,图号,标题,文件名,类型,宽度,高度,大小(KB)
1,1,未分类,,图1,[未识别标题] 第1页第1张图片,p001_unknown_51722df4.jpeg,raster,1637,1146,481.41
2,1,未分类,,图3,[未识别标题] 第1页第3张图片,p001_unknown_738e4339.jpeg,raster,124,235,8.24
3,1,未分类,,图6,[未识别标题] 第1页第6张图片,p001_unknown_e00f23b0.jpeg,raster,138,125,4.98
4,1,未分类,,图7,[未识别标题] 第1页第7张图片,p001_unknown_d1e78861.jpeg,raster,266,123,9.74
5,1,未分类,,图8,[未识别标题] 第1页第8张图片,p001_unknown_ebdb59ff.jpeg,raster,82,121,3.39
6,3,未分类,,图1,[未识别标题] 第3页第1张图片,p003_unknown_3345e43a.png,raster,2516,3579,6986.78
7,5,一 地球的运动 2,,图1,[未识别标题] 第5页第1张图片,p005_一_地球的运动_2_6ffb931d.jpeg,raster,2286,754,120.46
8,5,一 地球的运动 2,,图2,[未识别标题] 第5页第2张图片,p005_一_地球的运动_2_2238688e.jpeg,raster,1091,892,687.9
9,5,一 地球的运动 2,,图3,[未识别标题] 第5页第3张图片,p005_一_地球的运动_2_4dee2995.jpeg,raster,2266,1908,830.41
10,5,一 地球的运动 2,,图4,[未识别标题] 第5页第4张图片,p005_一_地球的运动_2_01488b28.jpeg,raster,822,705,394.65
11,5,一 地球的运动 2,,图5,[未识别标题] 第5页第5张图片,p005_一_地球的运动_2_1d0d8fc3.jpeg,raster,967,800,405.76
12,6,一 ◆ 地球的运动,,图1,[未识别标题] 第6页第1张图片,p006_一_◆_地球的运动_c29a0b13.jpeg,raster,807,1146,24.28
13,6,一 ◆ 地球的运动,,图2,[未识别标题] 第6页第2张图片,p006_一_◆_地球的运动_4b87f4d4.jpeg,raster,102,102,9.03
14,6,一 ◆ 地球的运动,,图3,[未识别标题] 第6页第3张图片,p006_一_◆_地球的运动_f31ac6e5.jpeg,raster,353,230,46.07
15,6,一 ◆ 地球的运动,,图4,[未识别标题] 第6页第4张图片,p006_一_◆_地球的运动_90270867.jpeg,raster,353,228,49.88
16,7,一 ◆ 地球的运动 > 一 第10 页：全班学生进行分组活动；各组制订详细的观察计划，尽快实,,图1,[未识别标题] 第7页第1张图片,p007_一_◆_地球的运动___一_第10_页：全班学生进行分组活动_70276752.jpeg,raster,808,1146,25.03
17,8,一 ◆ 地球的运动 > 一 地球的自转和公转,,图1,[未识别标题] 第8页第1张图片,p008_一_◆_地球的运动___一_地球的自转和公转_a47d5fe8.jpeg,raster,264,180,61.93
18,9,一 ◆ 地球的运动 > 一 地球的自转和公转 ◆,,图1,[未识别标题] 第9页第1张图片,p009_一_◆_地球的运动___一_地球的自转和公转_◆_f6f7f58b.jpeg,raster,236,238,17.27
19,10,一 ◆ 地球的运动 > 一 地球的自转和公转 ◆,,图1,[未识别标题] 第10页第1张图片,p010_一_◆_地球的运动___一_地球的自转和公转_◆_b08a5341.jpeg,raster,166,81,7.75
20,10,一 ◆ 地球的运动 > 一 地球的自转和公转 ◆,,图2,[未识别标题] 第10页第2张图片,p010_一_◆_地球的运动___一_地球的自转和公转_◆_77d38155.jpeg,raster,167,81,7.79
21,10,一 ◆ 地球的运动 > 一 地球的自转和公转 ◆,,图3,[未识别标题] 第10页第3张图片,p010_一_◆_地球的运动___一_地球的自转和公转_◆_cfe21909.jpeg,raster,189,92,8.64
22,12,一 ◆ 地球的运动 > 一 地球的自转和公转 ◆,,图2,[未识别标题] 第12页第2张图片,p012_一_◆_地球的运动___一_地球的自转和公转_◆_1e4807be.jpeg,raster,313,304,32.53
23,12,一 ◆ 地球的运动 > 一 地球的自转和公转 ◆,,图3,[未识别标题] 第12页第3张图片,p012_一_◆_地球的运动___一_地球的自转和公转_◆_f6d038eb.jpeg,raster,313,304,30.59
24,14,一 ◆ 地球的运动 > 一 地球的自转和公转 ◆,,图1,[未识别标题] 第14页第1张图片,p014_一_◆_地球的运动___一_地球的自转和公转_◆_cb0b7a17.jpeg,raster,246,171,39.48
25,15,一 ◆ 地球的运动 > 二 地球运动的地理意义 ◆,,图1,[未识别标题] 第15页第1张图片,p015_一_◆_地球的运动___二_地球运动的地理意义_◆_d01ee612.jpeg,raster,220,250,37.58
26,15,一 ◆ 地球的运动 > 二 地球运动的地理意义 ◆,,图2,[未识别标题] 第15页第2张图片,p015_一_◆_地球的运动___二_地球运动的地理意义_◆_b084d56d.jpeg,raster,341,259,34.85
27,17,一 ◆ 地球的运动 > 二 地球运动的地理意义 ◆,,图1,[未识别标题] 第17页第1张图片,p017_一_◆_地球的运动___二_地球运动的地理意义_◆_2a55ba0c.jpeg,raster,297,305,49.46
28,19,一 ◆ 地球的运动 > 二 地球运动的地理意义 ◆,,图1,[未识别标题] 第19页第1张图片,p019_一_◆_地球的运动___二_地球运动的地理意义_◆_dbf4d928.jpeg,raster,224,266,4.55
29,19,一 ◆ 地球的运动 > 二 地球运动的地理意义 ◆,,图2,[未识别标题] 第19页第2张图片,p019_一_◆_地球的运动___二_地球运动的地理意义_◆_b871c61a.jpeg,raster,805,483,55.58
30,22,一 ◆ 地球的运动 > 二 地球运动的地理意义 ◆,,图1,[未识别标题] 第22页第1张图片,p022_一_◆_地球的运动___二_地球运动的地理意义_◆_60e455a3.jpeg,raster,297,189,50.49
31,23,一 ◆ 地球的运动 > 二 地球运动的地理意义 ◆,,图1,[未识别标题] 第23页第1张图片,p023_一_◆_地球的运动___二_地球运动的地理意义_◆_013ebb9a.jpeg,raster,331,220,83.14
32,24,二 ◆ 地表形态的变化,,图2,[未识别标题] 第24页第2张图片,p024_二_◆_地表形态的变化_2861e88c.jpeg,raster,353,230,109.9
33,24,二 ◆ 地表形态的变化,,图3,[未识别标题] 第24页第3张图片,p024_二_◆_地表形态的变化_44d45f81.jpeg,raster,353,230,70.07
34,25,二 ◆ 地表形态的变化 > 一 第40 页：展示搜集到的大陆漂移假说和海底扩张学说的相关资料，并,,图1,[未识别标题] 第25页第1张图片,p025_二_◆_地表形态的变化___一_第40_页：展示搜集到的大陆_005e8c2a.jpeg,raster,808,1146,25.01
35,26,二 ◆ 地表形态的变化 > 一 地表形态变化的内外力作用,,图1,[未识别标题] 第26页第1张图片,p026_二_◆_地表形态的变化___一_地表形态变化的内外力作用_c2fda082.jpeg,raster,154,156,27.48
36,27,二 ◆ 地表形态的变化 > 一 地表形态变化的内外力作用 ◆,,图1,[未识别标题] 第27页第1张图片,p027_二_◆_地表形态的变化___一_地表形态变化的内外力作用_◆_5906f4c3.jpeg,raster,885,737,122.7
37,27,二 ◆ 地表形态的变化 > 一 地表形态变化的内外力作用 ◆,,图2,[未识别标题] 第27页第2张图片,p027_二_◆_地表形态的变化___一_地表形态变化的内外力作用_◆_66e60bb0.jpeg,raster,315,202,48.52
38,27,二 ◆ 地表形态的变化 > 一 地表形态变化的内外力作用 ◆,,图3,[未识别标题] 第27页第3张图片,p027_二_◆_地表形态的变化___一_地表形态变化的内外力作用_◆_200bf893.jpeg,raster,629,266,162.01
39,28,二 ◆ 地表形态的变化 > 一 地表形态变化的内外力作用 ◆,,图1,[未识别标题] 第28页第1张图片,p028_二_◆_地表形态的变化___一_地表形态变化的内外力作用_◆_353aeb4c.jpeg,raster,763,636,99.82
40,28,二 ◆ 地表形态的变化 > 一 地表形态变化的内外力作用 ◆,,图2,[未识别标题] 第28页第2张图片,p028_二_◆_地表形态的变化___一_地表形态变化的内外力作用_◆_41644ec3.jpeg,raster,697,581,90.18
41,28,二 ◆ 地表形态的变化 > 一 地表形态变化的内外力作用 ◆,,图3,[未识别标题] 第28页第3张图片,p028_二_◆_地表形态的变化___一_地表形态变化的内外力作用_◆_3ed1ebeb.jpeg,raster,285,189,60.75
42,29,二 ◆ 地表形态的变化 > 一 地表形态变化的内外力作用 ◆,,图1,[未识别标题] 第29页第1张图片,p029_二_◆_地表形态的变化___一_地表形态变化的内外力作用_◆_682c9a49.jpeg,raster,370,256,122.25
43,29,二 ◆ 地表形态的变化 > 一 地表形态变化的内外力作用 ◆,,图2,[未识别标题] 第29页第2张图片,p029_二_◆_地表形态的变化___一_地表形态变化的内外力作用_◆_05988a66.jpeg,raster,693,545,587.16
44,31,二 ◆ 地表形态的变化 > 一 地表形态变化的内外力作用 ◆,,图1,[未识别标题] 第31页第1张图片,p031_二_◆_地表形态的变化___一_地表形态变化的内外力作用_◆_4b664186.jpeg,raster,473,152,39.74
45,31,二 ◆ 地表形态的变化 > 一 地表形态变化的内外力作用 ◆,,图2,[未识别标题] 第31页第2张图片,p031_二_◆_地表形态的变化___一_地表形态变化的内外力作用_◆_5fb47179.jpeg,raster,448,271,123.75
46,32,二 ◆ 地表形态的变化 > 一 地表形态变化的内外力作用 ◆,,图1,[未识别标题] 第32页第1张图片,p032_二_◆_地表形态的变化___一_地表形态变化的内外力作用_◆_3671cc19.jpeg,raster,255,171,40.7
47,32,二 ◆ 地表形态的变化 > 一 地表形态变化的内外力作用 ◆,,图2,[未识别标题] 第32页第2张图片,p032_二_◆_地表形态的变化___一_地表形态变化的内外力作用_◆_d1b4b38c.jpeg,raster,371,227,102.4
48,33,二 ◆ 地表形态的变化 > 一 地表形态变化的内外力作用 ◆,,图1,[未识别标题] 第33页第1张图片,p033_二_◆_地表形态的变化___一_地表形态变化的内外力作用_◆_b78083bb.jpeg,raster,353,227,78.44
49,33,二 ◆ 地表形态的变化 > 一 地表形态变化的内外力作用 ◆,,图2,[未识别标题] 第33页第2张图片,p033_二_◆_地表形态的变化___一_地表形态变化的内外力作用_◆_95695afd.jpeg,raster,377,223,93.89
50,34,二 ◆ 地表形态的变化 > 一 地表形态变化的内外力作用 ◆,,图1,[未识别标题] 第34页第1张图片,p034_二_◆_地表形态的变化___一_地表形态变化的内外力作用_◆_2023b186.jpeg,raster,311,246,34.45
51,34,二 ◆ 地表形态的变化 > 一 地表形态变化的内外力作用 ◆,,图2,[未识别标题] 第34页第2张图片,p034_二_◆_地表形态的变化___一_地表形态变化的内外力作用_◆_0fc5dd31.jpeg,raster,306,246,94.75
52,35,二 ◆ 地表形态的变化 > 一 地表形态变化的内外力作用 ◆,,图1,[未识别标题] 第35页第1张图片,p035_二_◆_地表形态的变化___一_地表形态变化的内外力作用_◆_3199d32c.jpeg,raster,454,257,98.88
53,35,二 ◆ 地表形态的变化 > 一 地表形态变化的内外力作用 ◆,,图2,[未识别标题] 第35页第2张图片,p035_二_◆_地表形态的变化___一_地表形态变化的内外力作用_◆_8b11d069.jpeg,raster,454,246,13.81
54,36,二 ◆ 地表形态的变化 > 一 地表形态变化的内外力作用 ◆,,图1,[未识别标题] 第36页第1张图片,p036_二_◆_地表形态的变化___一_地表形态变化的内外力作用_◆_1715026e.jpeg,raster,200,208,41.72
55,36,二 ◆ 地表形态的变化 > 一 地表形态变化的内外力作用 ◆,,图2,[未识别标题] 第36页第2张图片,p036_二_◆_地表形态的变化___一_地表形态变化的内外力作用_◆_c32fa11c.jpeg,raster,200,208,18.01
56,36,二 ◆ 地表形态的变化 > 一 地表形态变化的内外力作用 ◆,,图3,[未识别标题] 第36页第3张图片,p036_二_◆_地表形态的变化___一_地表形态变化的内外力作用_◆_f181682e.jpeg,raster,199,208,59.47
57,37,二 ◆ 地表形态的变化 > 一 地表形态变化的内外力作用 ◆,,图1,[未识别标题] 第37页第1张图片,p037_二_◆_地表形态的变化___一_地表形态变化的内外力作用_◆_ae0f1480.jpeg,raster,567,236,116.13
58,39,二 ◆ 地表形态的变化 > 一 地表形态变化的内外力作用 ◆,,图1,[未识别标题] 第39页第1张图片,p039_二_◆_地表形态的变化___一_地表形态变化的内外力作用_◆_ec78c2ab.jpeg,raster,342,229,107.64
59,39,二 ◆ 地表形态的变化 > 一 地表形态变化的内外力作用 ◆,,图2,[未识别标题] 第39页第2张图片,p039_二_◆_地表形态的变化___一_地表形态变化的内外力作用_◆_a730ffab.jpeg,raster,473,267,106.27
60,40,二 ◆ 地表形态的变化 > 一 地表形态变化的内外力作用 ◆,,图1,[未识别标题] 第40页第1张图片,p040_二_◆_地表形态的变化___一_地表形态变化的内外力作用_◆_4729e039.jpeg,raster,677,485,65.15
61,41,二 ◆ 地表形态的变化 > 一 地表形态变化的内外力作用 ◆,,图1,[未识别标题] 第41页第1张图片,p041_二_◆_地表形态的变化___一_地表形态变化的内外力作用_◆_63cfbc17.jpeg,raster,427,198,76.6
62,42,二 ◆ 地表形态的变化 > 一 地表形态变化的内外力作用 ◆,,图1,[未识别标题] 第42页第1张图片,p042_二_◆_地表形态的变化___一_地表形态变化的内外力作用_◆_8e40bb44.jpeg,raster,303,208,34.79
63,42,二 ◆ 地表形态的变化 > 一 地表形态变化的内外力作用 ◆,,图2,[未识别标题] 第42页第2张图片,p042_二_◆_地表形态的变化___一_地表形态变化的内外力作用_◆_9620ea36.jpeg,raster,312,209,87.67
64,42,二 ◆ 地表形态的变化 > 一 地表形态变化的内外力作用 ◆,,图3,[未识别标题] 第42页第3张图片,p042_二_◆_地表形态的变化___一_地表形态变化的内外力作用_◆_54730f0e.jpeg,raster,384,256,69.04
65,43,二 ◆ 地表形态的变化 > 一 地表形态变化的内外力作用 ◆,,图1,[未识别标题] 第43页第1张图片,p043_二_◆_地表形态的变化___一_地表形态变化的内外力作用_◆_bd8f666d.jpeg,raster,362,248,75.54
66,44,二 ◆ 地表形态的变化 > 一 地表形态变化的内外力作用 ◆,,图1,[未识别标题] 第44页第1张图片,p044_二_◆_地表形态的变化___一_地表形态变化的内外力作用_◆_11ffa3c2.jpeg,raster,303,191,55.37
67,44,二 ◆ 地表形态的变化 > 一 地表形态变化的内外力作用 ◆,,图2,[未识别标题] 第44页第2张图片,p044_二_◆_地表形态的变化___一_地表形态变化的内外力作用_◆_1dc89927.jpeg,raster,305,193,51.87
68,44,二 ◆ 地表形态的变化 > 一 地表形态变化的内外力作用 ◆,,图3,[未识别标题] 第44页第3张图片,p044_二_◆_地表形态的变化___一_地表形态变化的内外力作用_◆_6608a04f.jpeg,raster,304,190,70.28
69,45,二 ◆ 地表形态的变化 > 二 岩石圈的物质组成及循环,,图1,[未识别标题] 第45页第1张图片,p045_二_◆_地表形态的变化___二_岩石圈的物质组成及循环_8ec080b8.jpeg,raster,298,208,73.43
70,45,二 ◆ 地表形态的变化 > 二 岩石圈的物质组成及循环,,图2,[未识别标题] 第45页第2张图片,p045_二_◆_地表形态的变化___二_岩石圈的物质组成及循环_794ceeb0.jpeg,raster,296,208,50.61
71,46,二 ◆ 地表形态的变化 > 二 岩石圈的物质组成及循环,,图1,[未识别标题] 第46页第1张图片,p046_二_◆_地表形态的变化___二_岩石圈的物质组成及循环_76f21757.jpeg,raster,139,87,12.6
72,46,二 ◆ 地表形态的变化 > 二 岩石圈的物质组成及循环,,图2,[未识别标题] 第46页第2张图片,p046_二_◆_地表形态的变化___二_岩石圈的物质组成及循环_ac625847.jpeg,raster,123,93,8.77
73,46,二 ◆ 地表形态的变化 > 二 岩石圈的物质组成及循环,,图3,[未识别标题] 第46页第3张图片,p046_二_◆_地表形态的变化___二_岩石圈的物质组成及循环_d7ccd578.jpeg,raster,197,145,4.22
74,46,二 ◆ 地表形态的变化 > 二 岩石圈的物质组成及循环,,图5,[未识别标题] 第46页第5张图片,p046_二_◆_地表形态的变化___二_岩石圈的物质组成及循环_35de6b82.jpeg,raster,150,107,21.08
75,46,二 ◆ 地表形态的变化 > 二 岩石圈的物质组成及循环,,图6,[未识别标题] 第46页第6张图片,p046_二_◆_地表形态的变化___二_岩石圈的物质组成及循环_70449986.jpeg,raster,171,134,3.75
76,46,二 ◆ 地表形态的变化 > 二 岩石圈的物质组成及循环,,图7,[未识别标题] 第46页第7张图片,p046_二_◆_地表形态的变化___二_岩石圈的物质组成及循环_f55ae9f9.jpeg,raster,139,114,3.65
77,46,二 ◆ 地表形态的变化 > 二 岩石圈的物质组成及循环,,图8,[未识别标题] 第46页第8张图片,p046_二_◆_地表形态的变化___二_岩石圈的物质组成及循环_5f2337fb.jpeg,raster,142,114,3.13
78,46,二 ◆ 地表形态的变化 > 二 岩石圈的物质组成及循环,,图9,[未识别标题] 第46页第9张图片,p046_二_◆_地表形态的变化___二_岩石圈的物质组成及循环_da257131.jpeg,raster,131,175,3.22
79,46,二 ◆ 地表形态的变化 > 二 岩石圈的物质组成及循环,,图10,[未识别标题] 第46页第10张图片,p046_二_◆_地表形态的变化___二_岩石圈的物质组成及循环_4fe92adf.jpeg,raster,125,97,6.98
80,47,二 ◆ 地表形态的变化 > 二 岩石圈的物质组成及循环 ◆,,图1,[未识别标题] 第47页第1张图片,p047_二_◆_地表形态的变化___二_岩石圈的物质组成及循环_◆_9f66bca1.jpeg,raster,101,86,9.57
81,47,二 ◆ 地表形态的变化 > 二 岩石圈的物质组成及循环 ◆,,图2,[未识别标题] 第47页第2张图片,p047_二_◆_地表形态的变化___二_岩石圈的物质组成及循环_◆_1a131343.jpeg,raster,76,91,1.73
82,47,二 ◆ 地表形态的变化 > 二 岩石圈的物质组成及循环 ◆,,图3,[未识别标题] 第47页第3张图片,p047_二_◆_地表形态的变化___二_岩石圈的物质组成及循环_◆_d34a4e7a.jpeg,raster,65,114,1.93
83,47,二 ◆ 地表形态的变化 > 二 岩石圈的物质组成及循环 ◆,,图4,[未识别标题] 第47页第4张图片,p047_二_◆_地表形态的变化___二_岩石圈的物质组成及循环_◆_06664901.jpeg,raster,120,76,1.75
84,47,二 ◆ 地表形态的变化 > 二 岩石圈的物质组成及循环 ◆,,图5,[未识别标题] 第47页第5张图片,p047_二_◆_地表形态的变化___二_岩石圈的物质组成及循环_◆_fee56077.jpeg,raster,80,96,2.42
85,48,二 ◆ 地表形态的变化 > 二 岩石圈的物质组成及循环 ◆,,图1,[未识别标题] 第48页第1张图片,p048_二_◆_地表形态的变化___二_岩石圈的物质组成及循环_◆_0dda7b3f.jpeg,raster,409,273,87.07
86,49,二 ◆ 地表形态的变化 > 二 岩石圈的物质组成及循环 ◆,,图1,[未识别标题] 第49页第1张图片,p049_二_◆_地表形态的变化___二_岩石圈的物质组成及循环_◆_84c66e52.jpeg,raster,637,337,124.1
87,50,二 ◆ 地表形态的变化 > 二 岩石圈的物质组成及循环 ◆,,图1,[未识别标题] 第50页第1张图片,p050_二_◆_地表形态的变化___二_岩石圈的物质组成及循环_◆_cc458a20.jpeg,raster,235,152,33.35
88,50,二 ◆ 地表形态的变化 > 二 岩石圈的物质组成及循环 ◆,,图2,[未识别标题] 第50页第2张图片,p050_二_◆_地表形态的变化___二_岩石圈的物质组成及循环_◆_8a31519b.jpeg,raster,227,151,18.97
89,50,二 ◆ 地表形态的变化 > 二 岩石圈的物质组成及循环 ◆,,图3,[未识别标题] 第50页第3张图片,p050_二_◆_地表形态的变化___二_岩石圈的物质组成及循环_◆_1eba45ec.jpeg,raster,146,146,29.85
